PAN Card Number,Age,Occupation,Annual Income,Property Tax Paid,School Fees,Grocery Expenses,Healthcare Costs,Lifestyle Expenditure,Bank Balance,Loan Amount,Income Declared,Estimated Actual Income,Fraud Flag,Total Expenses
ABC669,52,Self-Employed,422589,12445,26723,6649,6443,46467,44821,19415,323674,345146.4539503832,1,162963
ABC416,41,Employee,525044,42587,15642,5288,4484,66600,102721,95,183553,579599.8072284069,1,237417
ABC569,31,Entrepreneur,187816,18593,18217,13671,3055,39391,62188,50287,245062,176966.58666762963,0,205402
ABC520,46,Employee,685270,28460,11490,11095,9523,30058,33485,11996,76996,641579.8299448977,1,136107
ABC797,46,Retired,708880,46968,13586,19820,8966,68102,77004,33381,43055,696009.7829951551,1,267827
ABC593,49,Employee,158404,41573,29552,12123,5839,79548,33197,19033,84859,171341.05758215865,1,220865
ABC453,49,Employee,356220,10529,7299,16366,5184,57428,77270,17882,171452,364587.75029253255,1,191958
ABC129,51,Retired,417323,44629,21583,16851,8674,34769,53847,23024,252495,422589.36157215416,1,203377
ABC381,49,Student,84375,26141,24423,11177,8045,18713,41982,36808,298449,94871.86037573722,0,167289
ABC322,50,Employee,524171,34973,21829,16952,9885,14356,99523,33525,225405,482597.8762435377,1,231043
ABC889,33,Employee,155301,12404,10685,16909,5277,48052,127558,11637,148828,173875.95729903816,1,232522
ABC644,26,Entrepreneur,502470,40573,27430,7602,2859,26753,109277,27558,123040,491660.70838436636,1,242052
ABC412,21,Self-Employed,210734,35195,9477,11075,2222,66341,104162,38008,396402,170450.28010182822,0,266480
ABC231,53,Employee,770127,35774,9121,5613,5571,42030,110718,53869,137645,878385.0358124761,1,262696
ABC922,27,Retired,104316,11423,12790,6420,7692,53957,64641,588,155549,111080.81587204554,0,157511
ABC607,21,Self-Employed,653162,45361,23984,9742,2686,55970,80767,4451,79364,565967.8476420515,1,222961
ABC338,57,Employee,637767,30585,10213,15546,2282,22122,103340,4612,148100,695593.3285438112,1,188700
ABC177,51,Retired,344690,49510,8350,17183,6002,40447,58786,51386,151028,385034.34094883996,1,231664
ABC426,45,Employee,552029,24371,20580,17316,9754,11388,142160,43126,395559,497844.5048136766,1,268695
